address,body,label
+918210446063,"Arbitrage model: from 10K, RBI-backed plan https://linstok.com/fi7g",fraud
+917905797335,Reach smarter returns with HSBC Securities. Members earned Rs 320450 last week. https://tinyurl.com/kJF2vt17,fraud
+917509392291,Learn proven strategies with HSBC Securities ! Members earned Rs 294700 last week. Reliable insights daily! https://tinyurl.com/qDr2m9,fraud
+917019081828,Achieve steady returns with HSBC Securities. Members earned Rs 291220 last week. https://tinyurl.com/F7xTe13,fraud
+918415006119,Achieve Rs 305760 in weekly profits with HSBC Securities ' trusted advice. https://tinyurl.com/HrMIC2,fraud
+917081835538,BARCLAYS helps you achieve stock market success with real guidance. https://tinyurl.com/yXsm20,fraud
+917005726377,BARCLAYS members earned Rs 355520 last week. Start building smarter today. https://tinyurl.com/bXA0j21,fraud
+918260517476,India's stock market is on the rise today! Join INDIRA for expert advice on making profitable investments. https://goo.su/kDyQT6e,fraud
+918210010979,Achieve Rs52000 this week with INDIRA expert insights. Better financial returns start today. https://tinyurl.com/SYNp8,fraud
CP-MPOKKT,"Attention! Account BLOCKED, Complete Video-KYC now to Activate your Account and get a limited-time 50% off on interest rates for your next loan ct3.io/2yrd0C6 -mPokket -mPokket",fraud
CP-MPOKKT,"Attention! Account BLOCKED, Complete Video-KYC now to Activate your Account and get a limited-time 50% off on interest rates for your next loan ct3.io/2xQ6MZL -mPokket -mPokket",fraud
CP-MPOKKT,"Attention! Account BLOCKED, Complete Video-KYC now to Activate your Account and get a limited-time 50% off on interest rates for your next loan ct3.io/2wAeOd8 -mPokket -mPokket",fraud
CP-MPOKKT,"Attention! Account BLOCKED, Complete Video-KYC now to Activate your Account and get a limited-time 50% off on interest rates for your next loan ct3.io/2wHtPmT -mPokket -mPokket",fraud
CP-MPOKKT,"Attention! Account BLOCKED, Complete Video-KYC now to Activate your Account and get a limited-time 50% off on interest rates for your next loan ct3.io/2vemNCW -mPokket -mPokket",fraud
CP-MPOKKT,"Attention! Account BLOCKED, Complete Video-KYC now to Activate your Account and get a limited-time 50% off on interest rates for your next loan ct3.io/2uWIQ6A -mPokket -mPokket",fraud
CP-MPOKKT,"Attention! Account BLOCKED, Complete Video-KYC now to Activate your Account and get a limited-time 50% off on interest rates for your next loan ct3.io/2t3KlOZ -mPokket -mPokket",fraud
CP-MPOKKT,"IMPORTANT ALERT! Account BLOCKED due to incomplete re-KYC as per RBI guideline. To activate your account, complete VIDEO-KYC URGENTLY. To enjoy LOAN up to Rs.45,000 instantly in your bank account ct3.io/2sJh2Sf -mPokket",fraud
CP-MPOKKT,"IMPORTANT ALERT! Account BLOCKED due to incomplete re-KYC as per RBI guideline. To activate your account, complete VIDEO-KYC URGENTLY. To enjoy LOAN up to Rs.45,000 instantly in your bank account ct3.io/2rF08PU -mPokket",fraud
CP-MPOKKT,"IMPORTANT ALERT! Account BLOCKED due to incomplete re-KYC as per RBI guideline. To activate your account, complete VIDEO-KYC URGENTLY. To enjoy LOAN up to Rs.45,000 instantly in your bank account ct3.io/2pOkyV7 -mPokket",fraud
CP-MPOKKT,"IMPORTANT ALERT! Account BLOCKED due to incomplete re-KYC as per RBI guideline. To activate your account, complete VIDEO-KYC URGENTLY. To enjoy LOAN up to Rs.45,000 instantly in your bank account ct3.io/2pgDLHa -mPokket",fraud
CP-MPOKKT,"IMPORTANT ALERT! Account BLOCKED due to incomplete re-KYC as per RBI guideline. To activate your account, complete VIDEO-KYC URGENTLY. To enjoy LOAN up to Rs.45,000 instantly in your bank account ct3.io/2pmFtZP -mPokket",fraud
CP-MPOKKT,"IMPORTANT ALERT! Account BLOCKED due to incomplete re-KYC as per RBI guideline. To activate your account, complete VIDEO-KYC URGENTLY. To enjoy LOAN up to Rs.45,000 instantly in your bank account ct3.io/2o5P6a7 -mPokket",fraud
CP-MPOKKT,"IMPORTANT ALERT! Account BLOCKED due to incomplete re-KYC as per RBI guideline. To activate your account, complete VIDEO-KYC URGENTLY. To enjoy LOAN up to Rs.45,000 instantly in your bank account ct3.io/2lkHoBh -mPokket",fraud
+919328605624,"MSME Loan Scheme 2023 - Rs.25,23,000/- can be credited in your Bank Check Your eligibility http://epq9.com/HMQLKALHWYLNLWN",fraud
+918629841056,Rs10000 to Rs50L story. RBI listing confirmed. https://mktasset.com/f8f,fraud
+917802899401,"Received INR 15,000 on 9164XXXX19 at 26-04-2025 04:25:10. Quick UPI withdrawal available here: SR3.in/O9D81-22239285B",fraud
+918735983273,"Received INR 11,000 on 9164XXXX19 at 15-04-2025 18:15:22. Quick UPI withdrawal available here: SR3.in/O94F5-22239285B",fraud
+918303905437,Barclays shares stock updates to help you make better financial choices. https://tinyurl.com/FKV9UO10,fraud
+918252982477,"Last week, HSBC Securities members earned Rs 258760 with expert market insights. https://tinyurl.com/MBd0G10",fraud
+919752552797,Reliable strategies from INDIRA ensured Rs 292870 in member profits last week. https://tinyurl.com/yu0qhQ8,fraud
+919488464268,"Dear Customer-Your S.B,I Y0N0 NetBanking Reward point's INR.8760 will expire Today please-redeem Your points in Cash-click-on link. https://rb.gy/vg1fk7",fraud
+916352026792,"Hi 810564xxxx, Rs. 98560/- is Transferred to Your A/c By BHIM Ref ID: 223XXXX.ybl. Withdraw Cash NOW http://9ko6.com/1e8dtlk!7hi4pak",fraud
+918490952933,"Hi 810564xxxx, Rs.89699/- is Transferred to Your A/c By BHIM Ref ID: 8560XXXX.ybl. Withdraw Cash NOW http://9lp7.com/10q6t9m!7hi4pak",fraud
+917041130273,"Congrats 810564xxxx, Rs.82,850/- Credited to yOur A/c By BHIM Ref ID: 9429XXX.ybl GET Cash NOW http://4ps2.com/vg3fas!7hi4pak",fraud
+918735978067,"Hi 810564xxxx, Transaction successfully done of Rs.93472 to your Rummy Account on 06 JULY. Withdraw N0W: http://8jo5.com/9t4fkr!7hi4pak",fraud
+917227058248,"Hi 8105649492, Transaction Successfully done of Rs.98305.00 to your Rummy account on date 21 March  Withdraw it now. o1x.us/hoa3et!7h",fraud
+918490926371,"Hi 8105649492, Transaction Successfully done of Rs.94590.00 to your Rummy account on date 09 Feb  Withdraw it now. c3m.me/45i8gb",fraud
+919353708495,HDFC BANK PERSONAL LOAN Interest Rates Starts at 10.25%   Faster Process & Door Step Service  Apply! 9019964373 T&C  whatsapp wa.me/919019964373 ,fraud
+916360019245,"AXIS BANK PERSONAL LOAN now rate starts at 10.25%  Faster process, Zero Preclosure & Part Payment charges   Apply! 8105626288 T&C  Whatsapp wa.me/918105626288",fraud
+918306210847,Check your eligibility in 45 sec for Axis Bank Credit_Card. Get welcome benefits up to Rs.500 incl. Flipkart voucher.  T&C http://epq9.com/LLQPAPAHNYQMHQ,fraud
+919003271017,Dear 9945171257 Bima Yojana! Your r Selected to Get 1 CRORE Life Cover Your Application can be  Approved quote now :-  vb.pcb3.in/jiwKTGvco,fraud
+916358953626,!$! Register:https://wap.goldifyapp.com/#/register/M156 ?GOLDIFY Golden Opportunity to make your income up to lacs in a Day ?Join now It's all about Knowledge  method which makes an ordinary man to capital king  OPEN GOLDIFY? DEALER ACCOUNT.? ? ?Make your income up to min 50000RS + Guaranteed  Thank You Senior Manager? Analysis Support http://wa.me/919550093999,fraud
+918290187236,Your Application will be processed soon. Confirm few details  http://a2fn.com/jqhkhilnph,fraud
+919405412628,"Kindly update your delivery location within 12 hours, otherwise we will proceed to return the product: https://lihi.cc/tUjz2",fraud
+918293633513,"Kindly update your delivery location within 12 hours, otherwise we will proceed to return the product: https://lihi.cc/cFsxw",fraud
+919343389377,"Post Office: Due to an incorrect house number, we are unable to deliver your package to your door. Please update your house number online: https://lihi.cc/HiQs2",fraud
+917894561230,"Dear Customer, Rs.10,000/- has been Credited to your SBI A/c XXXX7823 on 11-03-2026. If not done by you, call 9876543210 or click https://sbi-verify.in/secure",fraud
+918765432109,"SBI ALERT: Rs.10000 credited to A/c ending 4521. If unrecognized, verify immediately: http://sbionline-kyc.com/verify?ref=TX8821",fraud
+917012345678,"Congratulations! Rs.10,000/- credited to your SBI account by GOVT scheme. Claim now: https://bit.ly/sbi-gov-claim-2026",fraud
+917306430860,"RBI Digital Reward: Rs.3,270,000 allocated to your number. Claim via: http://axis-bank.online/eBNu4c",fraud
+917790657066,"[KOTAK BANK] Rs.24,000 has been CREDITED to XXXX2165. Confirm the transaction: http://paytm-kyc.net/4CSJGyjLgXvtSt",fraud
+919898197615,Post Office: Your parcel 9055S2ULQ4JQ is on hold due to incomplete address. Update now: https://bit.ly/x18vaPB7,fraud
+918477000234,Nykaa Prize: You've been selected for a free Samsung S24! Claim before 24 hrs: http://sbi-secure.in/tqfFwsoR6,fraud
